GeneFamily	AD12	AD22	AD32	CK12	CK22	CK32
K14660	172.147	135.831	179.532	35.247	93.561	101.133
K14681	48.184	27.231	31.205	1.118	2.292	0
K14682	3.885	9.294	5.918	1.912	1.839	0.753
K14683	21.173	11.704	18.238	0.992	1.005	0
K14728	1.139	0	0	0.851	10.795	0
K14731	18.202	59.443	79.765	20.451	8.252	10.049
K14733	0.386	0	0	0	0	0
K14742	0.719	0	0.987	1.774	5.194	3.68
K14761	5.407	4.104	13.938	2.654	0	16.202
K14762	0	0	0	0	0	3.562
K14941	0	0	0	0	4.952	0
K14952	0.132	0	0	0	0.752	0
K14977	138.621	114.231	133.464	28.71	62.421	99.785
K14980	131.268	106.915	128.418	20.257	52.158	58.364
K14981	215.675	157.4	182.268	46.207	146.807	163.982
K15011	117.05	98.403	129.082	18.689	43.01	45.296
K15012	149.735	116.857	116.461	36.42	99.882	126.693
K15016	1.196	0	0	1.008	2.636	0
K15023	0	4.439	0	0	0	0
K15034	110.69	68.342	56.958	7.913	24.896	53.262
K15066	1.175	0	0	0	3.041	0
K15067	33.39	63.258	50.095	71.179	134.734	81.333
K15230	0	0.943	0.551	0	0	0
K15256	57.205	36.144	43.81	2.825	4.08	2.913
K15257	27.55	24.617	24.791	8.26	1.281	1.606
K15268	0	0	0.149	0	0	0.587
K15269	0	0	0	0	3.188	0.599
K15342	10.24	9.344	2.998	2.003	0	8.835
K15358	3.172	2.769	2.261	6.128	11.092	14.412
K15371	12.07	7.477	9.738	2.126	0.077	0.282
K15383	0.421	1.803	1.1	0.651	3.772	0
K15396	15.052	8.466	10.437	2.289	2.53	1.849
K15449	0	0	0	0.919	5.201	0
K15460	0	1.44	0.585	3.746	3.134	5.39
K15461	10.409	9.501	10.031	1.08	0	0.252
K15509	249.094	148.25	126.326	43.528	160.062	203.596
K15512	4.967	9.542	1.793	5.153	13.861	27.672
K15513	2.552	4.199	1.878	3.405	7.839	13.73
K15515	0	2.101	0	2.931	2.674	4.505
K15521	0	0	0	0	4.86	0
K15526	7.706	4.179	1.911	6.554	55.954	62.43
K15536	0	2.876	0.519	0	0	0
K15539	1.149	1.337	0.797	1.259	1.683	0.504
K15540	0	0	0	0	0	0.764
K15545	30.198	19.728	22.392	0.928	0.89	0
K15548	0	0	0	0	0	2.821
K15549	0	0	0	0	0	0.998
K15550	0	0	0	0	0	0.322
