Taxonomy	CK_Day10	CK_Day25	AOM_Day10	AD_Day10	AOM_Day25	AD_Day25
OTU767	1	0	1	1	0	1
OTU768	0	0	1	1	1	1
OTU769	1	1	1	1	0	1
OTU770	1	0	0	0	1	1
OTU771	1	0	1	1	1	1
OTU772	0	1	0	0	0	1
OTU773	0	0	0	1	0	1
OTU774	0	1	0	0	0	1
OTU775	0	0	0	0	1	0
OTU776	1	1	1	1	1	1
OTU777	0	0	0	0	0	0
OTU778	1	1	1	1	1	1
OTU779	1	1	1	1	0	1
OTU780	0	0	0	0	1	1
OTU781	0	1	1	0	0	0
OTU782	0	0	0	0	0	1
OTU783	1	0	1	0	1	1
OTU784	1	1	1	1	1	0
OTU785	0	1	0	0	1	1
OTU786	1	1	1	1	1	1
OTU787	0	0	1	0	0	0
OTU788	1	0	0	0	1	1
OTU789	1	1	1	1	1	1
OTU790	1	0	0	1	0	1
OTU791	0	0	0	0	0	1
OTU792	1	1	1	1	1	1
OTU793	0	1	0	1	1	0
OTU794	0	0	0	0	1	1
OTU795	0	0	0	0	0	1
OTU796	1	1	0	0	1	1
OTU797	0	0	0	0	0	0
OTU798	0	0	0	0	1	1
OTU799	1	1	0	0	1	0
OTU800	0	0	0	0	0	1
OTU801	0	0	1	1	0	0
OTU802	0	0	0	0	0	1
OTU803	0	0	0	0	0	1
OTU804	1	1	0	1	1	1
OTU805	0	1	0	0	0	1
